James_Carville,Louisiana_State_University
Steve_Ballmer,Harvard_College
Lawrence_Lessig,Yale_Law_School
Bill_Moyers,University_of_North_Texas
Matt_Damon,Harvard_University
Tarja_Halonen,University_of_Helsinki
Oprah_Winfrey,Tennessee_State_University
Melinda_Gates,Duke_University
Natalie_Portman,Harvard_University
Vint_Cerf,Stanford_University
Steve_Ballmer,Stanford_Graduate_School_of_Business
Ted_Turner,Brown_University
Michael_Bloomberg,Johns_Hopkins_University
Peter_Norton,Reed_College
Jane_Goodall,"Darwin_College,_Cambridge"
Timothy_Geithner,Paul_H._Nitze_School_of_Advanced_International_Studies
Robert_Gates,College_of_William_&_Mary
Timothy_Geithner,Dartmouth_College
Eric_Lander,Princeton_University
Robert_Gates,Georgetown_University
Eric_Lander,University_of_Oxford
Michael_Bloomberg,Harvard_Business_School
Robert_Gates,Indiana_University_Bloomington
Bill_Moyers,University_of_Texas_at_Austin
