CompuServe,"Columbus,_Ohio"
Microsoft_Studios,"Redmond,_Washington"
Hoover's,"Austin,_Texas"
Bell_Canada,Montreal
Microchip_Technology,"Chandler,_Arizona"
SNC-Lavalin,Montreal
American_Apparel,Los_Angeles
Guggenheim_Partners,Chicago
Beckman_Coulter,"Brea,_California"
New_World_Computing,"Agoura_Hills,_California"
OfficeMax,"Boca_Raton,_Florida"
Wind_River_Systems,"Alameda,_California"
Lattice_Semiconductor,"Portland,_Oregon"
MillerCoors,Chicago
Borland,"Austin,_Texas"
Burton_Snowboards,"Burlington,_Vermont"
DreamHost,Los_Angeles
Magnatune,"Berkeley,_California"
Fido_Solutions,Montreal
Stanford_Financial_Group,Houston
Akamai_Technologies,"Cambridge,_Massachusetts"
Lotus_Software,"Cambridge,_Massachusetts"
Power_Corporation_of_Canada,Montreal
Northern_Trust,Chicago
Infocom,"Cambridge,_Massachusetts"
Fox_Interactive,Los_Angeles
National_Instruments,"Austin,_Texas"
Tele-Communications_Inc.,Denver
SugarCRM,"Cupertino,_California"
Tektronix,"Beaverton,_Oregon"
Arthur_Andersen,Chicago
"Nike,_Inc.","Beaverton,_Oregon"
Vail_Resorts,"Broomfield,_Colorado"
Standard_Oil,Cleveland
Phoenix_Technologies,"Campbell,_California"
General_Catalyst_Partners,"Cambridge,_Massachusetts"
BBN_Technologies,"Cambridge,_Massachusetts"
Prodigy_(online_service),"Austin,_Texas"
Pandemic_Studios,Los_Angeles
WebEx,"Milpitas,_California"
Wachovia,"Charlotte,_North_Carolina"
AT&T_Labs,"Austin,_Texas"
Level_3_Communications,"Broomfield,_Colorado"
Astral_Media,Montreal
Playboy_Enterprises,"Beverly_Hills,_California"
Sony_Pictures_Television,"Culver_City,_California"
KBR_(company),Houston
BMC_Software,Houston
Navteq,Chicago
Intersil,"Milpitas,_California"
Hostess_Brands,"Kansas_City,_Missouri"
