Albertsons,"Boise,_Idaho"
Citgo,Houston
Microsoft_Studios,"Redmond,_Washington"
Western_Star_Trucks,"Portland,_Oregon"
Jack_in_the_Box,San_Diego
Tektronix,"Beaverton,_Oregon"
New_Era_Cap_Company,"Buffalo,_New_York"
Cooper_Industries,Chicago
American_Apparel,Los_Angeles
Guggenheim_Partners,Chicago
BellSouth,Atlanta
RR_Donnelley,Chicago
Freightliner_Trucks,"Portland,_Oregon"
Bright_House_Networks,"Syracuse,_New_York"
Wind_River_Systems,"Alameda,_California"
Tengen_(company),"Milpitas,_California"
Lattice_Semiconductor,"Portland,_Oregon"
Phillips_66,Houston
MillerCoors,Chicago
BMC_Software,Houston
Saban_Capital_Group,Los_Angeles
Meijer,"Grand_Rapids,_Michigan"
Dunlop_Tyres,"Akron,_Ohio"
Aniplex_of_America,"Santa_Monica,_California"
Akamai_Technologies,"Cambridge,_Massachusetts"
Lotus_Software,"Cambridge,_Massachusetts"
IGA_(supermarkets),Chicago
KBR_(company),Houston
SunTrust_Banks,Atlanta
Chipotle_Mexican_Grill,Denver
Fox_Interactive,Los_Angeles
Harmonix,"Cambridge,_Massachusetts"
Tele-Communications_Inc.,Denver
Cognos,Ottawa
M&T_Bank,"Buffalo,_New_York"
Cox_Media_Group,Atlanta
Regions_Financial_Corporation,"Birmingham,_Alabama"
"Nike,_Inc.","Beaverton,_Oregon"
International_Lease_Finance_Corporation,Los_Angeles
General_Catalyst_Partners,"Cambridge,_Massachusetts"
BBN_Technologies,"Cambridge,_Massachusetts"
Safaricom,Nairobi
WebEx,"Milpitas,_California"
Playboy_Enterprises,"Beverly_Hills,_California"
Buffalo_Wild_Wings,Minneapolis
Molson_Coors_Brewing_Company,Denver
Equifax,Atlanta
EarthLink,Atlanta
Roadside_Attractions,Los_Angeles
Kinder_Morgan,Houston
Intersil,"Milpitas,_California"
