1,Montgomery is the capital of Alabama.,"[""capital('Alabama_in_the_American_Civil_War', 'Montgomery,_Alabama') 1.0"", ""capital('Montgomery_metropolitan_area', 'Montgomery,_Alabama') 0.598687660112"", ""capital('Montgomery_County,_Alabama', 'Montgomery,_Alabama') 0.598687660112""]","['largestCity(""Montgomery_County,_Alabama"",""Montgomery,_Alabama"")', 'capital(""Alabama_in_the_American_Civil_War"",""Montgomery,_Alabama"")', 'largestCity(""Montgomery_metropolitan_area"",""Montgomery,_Alabama"")', 'capital(""Montgomery_County,_Alabama"",""Montgomery,_Alabama"")', 'capital(""Montgomery_metropolitan_area"",""Montgomery,_Alabama"")']","[""capital('Alabama_in_the_American_Civil_War', 'Montgomery,_Alabama') 1.0"", ""capital('Montgomery_metropolitan_area', 'Montgomery,_Alabama') 1.0"", ""capital('Montgomery_County,_Alabama', 'Montgomery,_Alabama') 1.0""]","[""capital('Alabama', 'Birmingham,_Alabama') 0.598687660112"", ""capital('Alabama_in_the_American_Civil_War', 'Montgomery,_Alabama') 1.0"", ""capital('Montgomery_metropolitan_area', 'Montgomery,_Alabama') 0.598687660112"", ""capital('Montgomery_County,_Alabama', 'Montgomery,_Alabama') 0.598687660112""]","['largestCity(""Montgomery_County,_Alabama"",""Montgomery,_Alabama"")', 'capital(""Alabama_in_the_American_Civil_War"",""Montgomery,_Alabama"")', 'largestCity(""Montgomery_metropolitan_area"",""Montgomery,_Alabama"")', 'largestCity(""Alabama"",""Birmingham,_Alabama"")', 'capital(""Montgomery_County,_Alabama"",""Montgomery,_Alabama"")', 'capital(""Montgomery_metropolitan_area"",""Montgomery,_Alabama"")', 'capital(""Alabama"",""Birmingham,_Alabama"")']","[""capital('Alabama', 'Birmingham,_Alabama') 1.0"", ""capital('Alabama_in_the_American_Civil_War', 'Montgomery,_Alabama') 1.0"", ""capital('Montgomery_metropolitan_area', 'Montgomery,_Alabama') 1.0"", ""capital('Montgomery_County,_Alabama', 'Montgomery,_Alabama') 1.0""]"
2,Austin is the capital of Texas.,"[""capital('Travis_County,_Texas', 'Austin,_Texas') 0.598687660112"", ""capital('Texas_in_the_American_Civil_War', 'Austin,_Texas') 1.0""]","['largestCity(""Travis_County,_Texas"",""Austin,_Texas"")', 'municipality(""Barton_Creek"",""Austin,_Texas"")', 'capital(""Texas_in_the_American_Civil_War"",""Austin,_Texas"")', 'capital(""Travis_County,_Texas"",""Austin,_Texas"")']","[""capital('Travis_County,_Texas', 'Austin,_Texas') 1.0"", ""capital('Texas_in_the_American_Civil_War', 'Austin,_Texas') 1.0""]","[""capital('Travis_County,_Texas', 'Austin,_Texas') 0.598687660112"", ""capital('Texas_in_the_American_Civil_War', 'Austin,_Texas') 1.0"", ""capital('Texas', 'Houston') 0.598687660112"", ""capital('Government_of_Free_Vietnam', 'Texas') 1.0"", ""capital('Texas', 'Texas') 0.574442516812""]","['largestCity(""Travis_County,_Texas"",""Austin,_Texas"")', 'municipality(""Barton_Creek"",""Austin,_Texas"")', 'capital(""Texas_in_the_American_Civil_War"",""Austin,_Texas"")', 'largestCity(""Texas"",""Houston"")', 'capital(""Government_of_Free_Vietnam"",""Texas"")', 'premierePlace(""Yajnaseni_(play)"",""Texas"")', 'capital(""Travis_County,_Texas"",""Austin,_Texas"")', 'capital(""Texas"",""Houston"")', 'capital(""Texas"",""Texas"")']","[""capital('Travis_County,_Texas', 'Austin,_Texas') 1.0"", ""capital('Texas_in_the_American_Civil_War', 'Austin,_Texas') 1.0"", ""capital('Texas', 'Houston') 1.0"", ""capital('Government_of_Free_Vietnam', 'Texas') 1.0"", ""capital('Texas', 'Texas') 1.0""]"
3,Salt Lake City is the capital of Utah.,"[""capital('Salt_Lake_County,_Utah', 'Salt_Lake_City') 0.598687660112"", ""capital('Utah_Territory', 'Salt_Lake_City') 1.0""]","['capital(""Utah_Territory"",""Salt_Lake_City"")', 'largestCity(""Salt_Lake_County,_Utah"",""Salt_Lake_City"")', 'capital(""Salt_Lake_County,_Utah"",""Salt_Lake_City"")']","[""capital('Salt_Lake_County,_Utah', 'Salt_Lake_City') 1.0"", ""capital('Utah_Territory', 'Salt_Lake_City') 1.0""]","[""capital('Salt_Lake_County,_Utah', 'Salt_Lake_City') 0.598687660112"", ""capital('Utah_Territory', 'Salt_Lake_City') 1.0"", ""capital('State_of_Deseret', 'Salt_Lake_City') 1.0"", ""capital('Salt_Lake_City', 'Salt_Lake_City') 0.574442516812""]","['capital(""State_of_Deseret"",""Salt_Lake_City"")', 'capital(""Utah_Territory"",""Salt_Lake_City"")', 'largestCity(""Salt_Lake_County,_Utah"",""Salt_Lake_City"")', 'premierePlace(""Struck_Oil_(film)__Struck_Oil__1"",""Salt_Lake_City"")', 'capital(""Salt_Lake_County,_Utah"",""Salt_Lake_City"")', 'capital(""Salt_Lake_City"",""Salt_Lake_City"")']","[""capital('Salt_Lake_County,_Utah', 'Salt_Lake_City') 1.0"", ""capital('Utah_Territory', 'Salt_Lake_City') 1.0"", ""capital('State_of_Deseret', 'Salt_Lake_City') 1.0"", ""capital('Salt_Lake_City', 'Salt_Lake_City') 1.0""]"
4,Richmond is the capital of Virginia.,"[""capital('Virginia_in_the_American_Civil_War', 'Richmond,_Virginia') 1.0"", ""capital('Greater_Richmond_Region', 'Richmond,_Virginia') 0.598687660112""]","['capital(""Virginia_in_the_American_Civil_War"",""Richmond,_Virginia"")', 'largestCity(""Greater_Richmond_Region"",""Richmond,_Virginia"")', 'capital(""Greater_Richmond_Region"",""Richmond,_Virginia"")']","[""capital('Virginia_in_the_American_Civil_War', 'Richmond,_Virginia') 1.0"", ""capital('Greater_Richmond_Region', 'Richmond,_Virginia') 1.0""]","[""capital('Virginia_in_the_American_Civil_War', 'Richmond,_Virginia') 1.0"", ""capital('Virginia', 'Virginia_Beach,_Virginia') 0.598687660112"", ""capital('Greater_Richmond_Region', 'Richmond,_Virginia') 0.598687660112""]","['capital(""Virginia_in_the_American_Civil_War"",""Richmond,_Virginia"")', 'largestCity(""Greater_Richmond_Region"",""Richmond,_Virginia"")', 'largestCity(""Virginia"",""Virginia_Beach,_Virginia"")', 'capital(""Greater_Richmond_Region"",""Richmond,_Virginia"")', 'capital(""Virginia"",""Virginia_Beach,_Virginia"")']","[""capital('Virginia_in_the_American_Civil_War', 'Richmond,_Virginia') 1.0"", ""capital('Virginia', 'Virginia_Beach,_Virginia') 1.0"", ""capital('Greater_Richmond_Region', 'Richmond,_Virginia') 1.0""]"
5,Santa Fe is the capital of New Mexico.,"[""capital('Santa_Fe_County,_New_Mexico', 'Santa_Fe,_New_Mexico') 0.598687660112"", ""capital('New_Mexico_Territory', 'Santa_Fe,_New_Mexico') 1.0""]","['capital(""New_Mexico_Territory"",""Santa_Fe,_New_Mexico"")', 'largestCity(""Santa_Fe_County,_New_Mexico"",""Santa_Fe,_New_Mexico"")', 'capital(""Santa_Fe_County,_New_Mexico"",""Santa_Fe,_New_Mexico"")']","[""capital('Santa_Fe_County,_New_Mexico', 'Santa_Fe,_New_Mexico') 1.0"", ""capital('New_Mexico_Territory', 'Santa_Fe,_New_Mexico') 1.0""]","[""capital('New_Mexico', 'Santa_Fe_New_Mexico') 1.0"", ""capital('Santa_Fe_County,_New_Mexico', 'Santa_Fe,_New_Mexico') 0.598687660112"", ""capital('New_Mexico_Territory', 'Santa_Fe,_New_Mexico') 1.0"", ""capital('New_Mexico', 'Albuquerque,_New_Mexico') 0.598687660112""]","['capital(""New_Mexico_Territory"",""Santa_Fe,_New_Mexico"")', 'largestCity(""Santa_Fe_County,_New_Mexico"",""Santa_Fe,_New_Mexico"")', 'capital(""New_Mexico"",""Santa_Fe_New_Mexico"")', 'largestCity(""New_Mexico"",""Albuquerque,_New_Mexico"")', 'capital(""Santa_Fe_County,_New_Mexico"",""Santa_Fe,_New_Mexico"")', 'capital(""New_Mexico"",""Albuquerque,_New_Mexico"")']","[""capital('New_Mexico', 'Santa_Fe_New_Mexico') 1.0"", ""capital('Santa_Fe_County,_New_Mexico', 'Santa_Fe,_New_Mexico') 1.0"", ""capital('New_Mexico_Territory', 'Santa_Fe,_New_Mexico') 1.0"", ""capital('New_Mexico', 'Albuquerque,_New_Mexico') 1.0""]"
6,Madison is the capital of Wisconsin.,"[""capital('Wisconsin_Territory', 'Madison,_Wisconsin') 1.0"", ""capital('Dane_County,_Wisconsin', 'Madison,_Wisconsin') 0.598687660112""]","['capital(""Wisconsin_Territory"",""Madison,_Wisconsin"")', 'largestCity(""Dane_County,_Wisconsin"",""Madison,_Wisconsin"")', 'capital(""Dane_County,_Wisconsin"",""Madison,_Wisconsin"")']","[""capital('Wisconsin_Territory', 'Madison,_Wisconsin') 1.0"", ""capital('Dane_County,_Wisconsin', 'Madison,_Wisconsin') 1.0""]","[""capital('Wisconsin', 'Milwaukee') 0.598687660112"", ""capital('Wisconsin_Territory', 'Madison,_Wisconsin') 1.0"", ""capital('Dane_County,_Wisconsin', 'Madison,_Wisconsin') 0.598687660112""]","['capital(""Wisconsin_Territory"",""Madison,_Wisconsin"")', 'largestCity(""Dane_County,_Wisconsin"",""Madison,_Wisconsin"")', 'largestCity(""Wisconsin"",""Milwaukee"")', 'capital(""Dane_County,_Wisconsin"",""Madison,_Wisconsin"")', 'capital(""Wisconsin"",""Milwaukee"")']","[""capital('Wisconsin', 'Milwaukee') 1.0"", ""capital('Wisconsin_Territory', 'Madison,_Wisconsin') 1.0"", ""capital('Dane_County,_Wisconsin', 'Madison,_Wisconsin') 1.0""]"
7,Albany is the capital of New York.,[],[],[],"[""capital('Scotland', 'Glasgow') 0.598687660112"", ""capital('Scotland', 'Edinburgh') 1.0""]","['capital(""Scotland"",""Edinburgh"")', 'largestCity(""Scotland"",""Glasgow"")', 'capital(""Scotland"",""Glasgow"")']","[""capital('Scotland', 'Glasgow') 1.0"", ""capital('Scotland', 'Edinburgh') 1.0""]"
8,Juneau is the capital of Alaska.,[],"['district(""Eagle_River_(Favorite_Channel)"",""Juneau,_Alaska"")']",[],"[""capital('Alaska', 'Anchorage,_Alaska') 0.598687660112""]","['district(""Eagle_River_(Favorite_Channel)"",""Juneau,_Alaska"")', 'largestCity(""Alaska"",""Anchorage,_Alaska"")', 'capital(""Alaska"",""Anchorage,_Alaska"")']","[""capital('Alaska', 'Anchorage,_Alaska') 1.0""]"
9,Springfield is the capital of Illinois.,"[""capital('Sangamon_County,_Illinois', 'Springfield,_Illinois') 0.598687660112""]","['largestCity(""Sangamon_County,_Illinois"",""Springfield,_Illinois"")', 'capital(""Sangamon_County,_Illinois"",""Springfield,_Illinois"")']","[""capital('Sangamon_County,_Illinois', 'Springfield,_Illinois') 1.0""]","[""capital('Sangamon_County,_Illinois', 'Springfield,_Illinois') 0.598687660112"", ""capital('Illinois', 'Illinois') 0.916827303506"", ""capital('Illinois', 'Chicago') 0.598687660112""]","['largestCity(""Sangamon_County,_Illinois"",""Springfield,_Illinois"")', 'largestCity(""Illinois"",""Chicago"")', 'district(""Chadwick,_Illinois"",""Illinois"")', 'premierePlace(""Bosoms_and_Neglect"",""Illinois"")', 'premierePlace(""August:_Osage_County"",""Illinois"")', 'premierePlace(""Rich_and_Famous_(play)"",""Illinois"")', 'premierePlace(""Disgraced"",""Illinois"")', 'premierePlace(""Late_Nite_Catechism"",""Illinois"")', 'premierePlace(""Boy_Gets_Girl"",""Illinois"")', 'premierePlace(""Chinglish_(play)"",""Illinois"")', 'premierePlace(""Out_Cry"",""Illinois"")', 'capital(""Sangamon_County,_Illinois"",""Springfield,_Illinois"")', 'capital(""Illinois"",""Chicago"")', 'capital(""Illinois"",""Illinois"")']","[""capital('Sangamon_County,_Illinois', 'Springfield,_Illinois') 1.0"", ""capital('Illinois', 'Illinois') 1.0"", ""capital('Illinois', 'Chicago') 1.0""]"
10,Helena is the capital of Montana.,"[""capital('Lewis_and_Clark_County,_Montana', 'Helena,_Montana') 0.598687660112"", ""capital('Montana_Territory', 'Helena,_Montana') 1.0""]","['capital(""Montana_Territory"",""Helena,_Montana"")', 'largestCity(""Lewis_and_Clark_County,_Montana"",""Helena,_Montana"")', 'capital(""Lewis_and_Clark_County,_Montana"",""Helena,_Montana"")']","[""capital('Lewis_and_Clark_County,_Montana', 'Helena,_Montana') 1.0"", ""capital('Montana_Territory', 'Helena,_Montana') 1.0""]","[""capital('Montana', 'Billings,_Montana') 0.598687660112"", ""capital('Lewis_and_Clark_County,_Montana', 'Helena,_Montana') 0.598687660112"", ""capital('Montana_Territory', 'Helena,_Montana') 1.0""]","['capital(""Montana_Territory"",""Helena,_Montana"")', 'largestCity(""Lewis_and_Clark_County,_Montana"",""Helena,_Montana"")', 'largestCity(""Montana"",""Billings,_Montana"")', 'capital(""Lewis_and_Clark_County,_Montana"",""Helena,_Montana"")', 'capital(""Montana"",""Billings,_Montana"")']","[""capital('Montana', 'Billings,_Montana') 1.0"", ""capital('Lewis_and_Clark_County,_Montana', 'Helena,_Montana') 1.0"", ""capital('Montana_Territory', 'Helena,_Montana') 1.0""]"
11,Phoenix is the capital of Arizona.,"[""capital('Arizona_Territory', 'Phoenix,_Arizona') 1.0"", ""capital('Maricopa_County,_Arizona', 'Phoenix,_Arizona') 0.598687660112""]","['capital(""Arizona_Territory"",""Phoenix,_Arizona"")', 'largestCity(""Maricopa_County,_Arizona"",""Phoenix,_Arizona"")', 'capital(""Maricopa_County,_Arizona"",""Phoenix,_Arizona"")']","[""capital('Arizona_Territory', 'Phoenix,_Arizona') 1.0"", ""capital('Maricopa_County,_Arizona', 'Phoenix,_Arizona') 1.0""]","[""capital('Arizona', 'Capital_city') 0.598687660112"", ""capital('Arizona_Territory', 'Phoenix,_Arizona') 1.0"", ""capital('Maricopa_County,_Arizona', 'Phoenix,_Arizona') 0.598687660112""]","['capital(""Arizona_Territory"",""Phoenix,_Arizona"")', 'largestCity(""Maricopa_County,_Arizona"",""Phoenix,_Arizona"")', 'largestCity(""Arizona"",""Capital_city"")', 'district(""Coyote_Mountains_Wilderness_(Arizona)"",""Arizona"")', 'capital(""Maricopa_County,_Arizona"",""Phoenix,_Arizona"")', 'capital(""Arizona"",""Capital_city"")']","[""capital('Arizona', 'Capital_city') 1.0"", ""capital('Arizona_Territory', 'Phoenix,_Arizona') 1.0"", ""capital('Maricopa_County,_Arizona', 'Phoenix,_Arizona') 1.0""]"
