20,Bill Clinton is married to Laura Bush.,F,F
21,George W Bush is married to Hillary Clinton.,F,F
22,Donald Trump is married to Nancy Reagan.,F,F
23,Ronald Reagan is married to Melania Trump.,F,N
24,Jimmy Carter is married to Nancy Reagan.,F,F
28,Gerald Ford is married to Barbara Bush.,F,F
29,George H W Bush is married to Betty Ford.,F,F
30,Harry Truman was married to Mary Todd.,F,F
31,Abraham Lincoln is married to Bess Truman.,F,F
32,Richard Nixon is married to Nancy Regan.,F,N
33,Franklin D Roosevelt is married to Jacqueline Kennedy.,F,F
34,John F Kennedy is married to Eleanor Roosevelt.,F,T
35,John F Kennedy is married to Richard Nixon.,F,F
