"Pierre,_South_Dakota",South_Dakota
"Cheyenne,_Wyoming",Wyoming
"Jefferson_City,_Missouri",Missouri
"Sacramento,_California",California
"Montgomery,_Alabama",Alabama
"Topeka,_Kansas",Kansas
"Charleston,_West_Virginia",West_Virginia
"Guthrie,_Oklahoma",Oklahoma_Territory
Oklahoma_City,Oklahoma
"Tallahassee,_Florida",Florida
"Boise,_Idaho",Idaho
"Helena,_Montana",Montana
"Jackson,_Mississippi",Mississippi
Denver,Colorado
"Trenton,_New_Jersey",New_Jersey
"Jonesborough,_Tennessee",State_of_Franklin
"Madison,_Wisconsin",Wisconsin
"Greeneville,_Tennessee",State_of_Franklin
"Phoenix,_Arizona",Arizona
"Columbia,_South_Carolina",South_Carolina
"Dover,_Delaware",Delaware
"Nashville,_Tennessee",Tennessee
"Raleigh,_North_Carolina",North_Carolina
"Springfield,_Illinois",Illinois
"Little_Rock,_Arkansas",Arkansas
"Baton_Rouge,_Louisiana",Louisiana
"Austin,_Texas",Texas
"Columbus,_Ohio",Ohio
