Julie_Nixon_Eisenhower,David_Eisenhower
Barack_Obama,Michelle_Obama
John_Hodiak,Anne_Baxter
Richard_Nixon,Pat_Nixon
James_Madison,Dolley_Madison
Bob_Dole,Elizabeth_Dole
Clare_Boothe_Luce,Henry_Luce
Lyndon_B._Johnson,Lady_Bird_Johnson
Mary_Todd_Lincoln,Abraham_Lincoln
George_H._W._Bush,Barbara_Bush
Mamie_Eisenhower,Dwight_D._Eisenhower
Martin_Luther_King_Jr.,Coretta_Scott_King
Aristotle_Onassis,Jacqueline_Kennedy_Onassis
Alice_Roosevelt_Longworth,Nicholas_Longworth
Laura_Bush,George_W._Bush
Eunice_Kennedy_Shriver,Sargent_Shriver
Dick_Cheney,Lynne_Cheney
Hosni_Mubarak,Suzanne_Mubarak
Nancy_Reagan,Ronald_Reagan
James_Carville,Mary_Matalin
Jill_Biden,Joe_Biden
Bill_Clinton,Hillary_Clinton
Ronald_Reagan,Nancy_Reagan
Abraham_Lincoln,Mary_Todd_Lincoln
Malcolm_X,Betty_Shabazz
Martha_Washington,George_Washington
Joseph_C._Wilson,Valerie_Plame
Ronald_Reagan,Jane_Wyman
Herbert_Hoover,Lou_Henry_Hoover
Dolley_Madison,James_Madison
Dwight_D._Eisenhower,Mamie_Eisenhower
Andrew_Jackson,Rachel_Jackson
Edith_Roosevelt,Theodore_Roosevelt
Jacqueline_Kennedy_Onassis,John_F._Kennedy
Elizabeth_Taylor,Richard_Burton
Bill_Gates,Melinda_Gates
Sargent_Shriver,Eunice_Kennedy_Shriver
Winnie_Madikizela-Mandela,Nelson_Mandela
Marilyn_Monroe,Joe_DiMaggio
Bess_Truman,Harry_S._Truman
Franklin_D._Roosevelt,Eleanor_Roosevelt
Michelle_Obama,Barack_Obama
Abigail_Adams,John_Adams
John_Edwards,Elizabeth_Edwards
Jimmy_Carter,Rosalynn_Carter
John_Warner,Elizabeth_Taylor
Elaine_Chao,Mitch_McConnell
