Accel_Partners,"Palo_Alto,_California"
CBS_Interactive,San_Francisco
Fox_Entertainment_Group,"Century_City,_Los_Angeles"
Motorola,United_States
CBS_Interactive,California
MCI_Communications,United_States
Zynga,California
Netscape,"Dulles,_Virginia"
Hurley_International,"Costa_Mesa,_California"
Polycom,"San_Jose,_California"
Netscape,United_States
Tower_Records,"Sacramento,_California"
Intuit,California
Adobe_Systems,California
Sonos,"Santa_Barbara,_California"
Netscape,"Mountain_View,_California"
OnLive,"Mountain_View,_California"
Dine_Alone_Records,Los_Angeles
Pandora_Radio,"Oakland,_California"
Universal_Music_Latin_Entertainment,Los_Angeles
RealNetworks,Washington_(state)
SugarCRM,"Cupertino,_California"
Adobe_Systems,"San_Jose,_California"
Myspace,"Beverly_Hills,_California"
Universal_Music_Latin_Entertainment,California
Polycom,United_States
RealNetworks,United_States
Zynga,San_Francisco
Facebook,"Menlo_Park,_California"
