Gordon_Brown,Sarah_Jane_Brown
Julie_Nixon_Eisenhower,David_Eisenhower
Barack_Obama,Michelle_Obama
Richard_Nixon,Pat_Nixon
James_Madison,Dolley_Madison
Bob_Dole,Elizabeth_Dole
Lyndon_B._Johnson,Lady_Bird_Johnson
George_H._W._Bush,Barbara_Bush
Mamie_Eisenhower,Dwight_D._Eisenhower
Melinda_Gates,Bill_Gates
Ronald_Reagan,Nancy_Reagan
Theodore_Roosevelt,Edith_Roosevelt
Laura_Bush,George_W._Bush
Eunice_Kennedy_Shriver,Sargent_Shriver
Joe_Biden,Jill_Biden
Hosni_Mubarak,Suzanne_Mubarak
Nelson_Mandela,Winnie_Madikizela-Mandela
Franklin_D._Roosevelt,Eleanor_Roosevelt
Bill_Clinton,Hillary_Clinton
Arnold_Schwarzenegger,Maria_Shriver
Mary_Matalin,James_Carville
Michael_Huffington,Arianna_Huffington
Joseph_C._Wilson,Valerie_Plame
Herbert_Hoover,Lou_Henry_Hoover
Dwight_D._Eisenhower,Mamie_Eisenhower
Nancy_Reagan,Ronald_Reagan
Jacqueline_Kennedy_Onassis,John_F._Kennedy
Dick_Cheney,Lynne_Cheney
Bill_Gates,Melinda_Gates
Sargent_Shriver,Eunice_Kennedy_Shriver
Janet_Yellen,George_Akerlof
Theodore_Olson,Barbara_Olson
Bess_Truman,Harry_S._Truman
Asif_Ali_Zardari,Benazir_Bhutto
Abigail_Adams,John_Adams
Nicholas_Longworth,Alice_Roosevelt_Longworth
John_Edwards,Elizabeth_Edwards
Jimmy_Carter,Rosalynn_Carter
Elaine_Chao,Mitch_McConnell
