William_Harvey,"Gonville_and_Caius_College,_Cambridge"
William_Lipscomb,California_Institute_of_Technology
Thomas_Hunt_Morgan,Johns_Hopkins_University
Frank_Drake,Harvard_University
Charles_K._Kao,University_of_Greenwich
Thomas_Hunt_Morgan,University_of_Kentucky
Gary_Becker,University_of_Chicago
Josiah_Willard_Gibbs,Yale_University
Robert_Andrews_Millikan,Oberlin_College
Walter_Houser_Brattain,University_of_Minnesota
Talcott_Parsons,Amherst_College
Walter_Gilbert,University_of_Cambridge
Svante_Arrhenius,Uppsala_University
Walter_Houser_Brattain,Whitman_College
Francis_Galton,King's_College_London
William_Vickrey,Yale_University
Carl_Woese,Yale_University
Walter_Gilbert,Harvard_University
Jacobus_Henricus_van_'t_Hoff,Delft_University_of_Technology
William_Vickrey,Columbia_University
Jacobus_Henricus_van_'t_Hoff,University_of_Bonn
Lynn_Margulis,University_of_Chicago
Charles_K._Kao,University_College_London
James_Dewar,University_of_Edinburgh
C._V._Raman,University_of_Madras
Christiaan_Huygens,Leiden_University
Frank_Drake,Cornell_University
James_M._Buchanan,Middle_Tennessee_State_University
James_M._Buchanan,University_of_Chicago
Charles_K._Kao,University_of_London
Wernher_von_Braun,Technical_University_of_Berlin
Jane_Goodall,"Darwin_College,_Cambridge"
Robert_Andrews_Millikan,Columbia_University
William_Lipscomb,University_of_Kentucky
Lars_Onsager,Yale_University
J._Robert_Oppenheimer,Harvard_College
Gary_Becker,Princeton_University
Jacobus_Henricus_van_'t_Hoff,University_of_Paris
Louis_de_Broglie,University_of_Paris
Max_Perutz,University_of_Vienna
Svante_Arrhenius,Stockholm_University
Kenneth_Arrow,Columbia_University
Thomas_Young_(scientist),University_of_Edinburgh_Medical_School
Carl_Woese,Amherst_College
Robert_S._Mulliken,University_of_Chicago
Sidney_Altman,Massachusetts_Institute_of_Technology
Edward_Witten,Brandeis_University
Lars_Onsager,Norwegian_University_of_Science_and_Technology
Barbara_McClintock,Cornell_University
Alec_Jeffreys,University_of_Oxford
Edward_Witten,Princeton_University
