Harry_Crosby,Caresse_Crosby
Julie_Nixon_Eisenhower,David_Eisenhower
Dwight_D._Eisenhower,Mamie_Eisenhower
Barack_Obama,Michelle_Obama
Bryan_Forbes,Nanette_Newman
Richard_Nixon,Pat_Nixon
James_Madison,Dolley_Madison
Bob_Dole,Elizabeth_Dole
Bill_Clinton,Hillary_Clinton
George_Washington,Martha_Washington
Lyndon_B._Johnson,Lady_Bird_Johnson
Howard_Hughes,Jean_Peters
George_H._W._Bush,Barbara_Bush
Theodore_Roosevelt,Edith_Roosevelt
Alice_Roosevelt_Longworth,Nicholas_Longworth
Jacqueline_Kennedy_Onassis,Aristotle_Onassis
Joe_Biden,Jill_Biden
Hosni_Mubarak,Suzanne_Mubarak
Henry_Luce,Clare_Boothe_Luce
"Louis_Mountbatten,_1st_Earl_Mountbatten_of_Burma","Edwina_Mountbatten,_Countess_Mountbatten_of_Burma"
James_Carville,Mary_Matalin
Franklin_D._Roosevelt,Eleanor_Roosevelt
Harry_S._Truman,Bess_Truman
Ronald_Reagan,Nancy_Reagan
Abraham_Lincoln,Mary_Todd_Lincoln
Joseph_C._Wilson,Valerie_Plame
Ronald_Reagan,Jane_Wyman
Herbert_Hoover,Lou_Henry_Hoover
Nelson_Mandela,Winnie_Madikizela-Mandela
John_F._Kennedy,Jacqueline_Kennedy_Onassis
Andrew_Jackson,Rachel_Jackson
George_W._Bush,Laura_Bush
Dick_Cheney,Lynne_Cheney
Sargent_Shriver,Eunice_Kennedy_Shriver
Theodore_Olson,Barbara_Olson
John_Edwards,Elizabeth_Edwards
Jimmy_Carter,Rosalynn_Carter
