"Washington,_D.C.",United_States
"Harrisburg,_Pennsylvania",Pennsylvania
"Jefferson_City,_Missouri",Missouri
Indianapolis,Indiana
"Montgomery,_Alabama",Alabama
"Frankfort,_Kentucky",Kentucky
"Charleston,_West_Virginia",West_Virginia
"Pensacola,_Florida",West_Florida
"Greeneville,_Tennessee",State_of_Franklin
"Tallahassee,_Florida",Florida
"Boise,_Idaho",Idaho
Atlanta,Georgia_(U.S._state)
"Jackson,_Mississippi",Mississippi
"Richmond,_Virginia",Virginia
"Trenton,_New_Jersey",New_Jersey
"Jonesborough,_Tennessee",State_of_Franklin
"Columbia,_South_Carolina",South_Carolina
"Knoxville,_Tennessee",Southwest_Territory
"Dover,_Delaware",Delaware
"Montpelier,_Vermont",Vermont
"Nashville,_Tennessee",Tennessee
"Raleigh,_North_Carolina",North_Carolina
"Springfield,_Illinois",Illinois
"Little_Rock,_Arkansas",Arkansas
"Austin,_Texas",Texas
"Columbus,_Ohio",Ohio
"Hartford,_Connecticut",Connecticut
