Russell_Simmons,City_College_of_New_York
Jerry_Springer,Tulane_University
James_Carville,Louisiana_State_University
Jack_Thompson_(activist),Vanderbilt_University
Ron_Paul,Gettysburg_College
Arianna_Huffington,"Girton_College,_Cambridge"
Andrew_Ross_Sorkin,Cornell_University
Tom_Daschle,South_Dakota_State_University
William_Donald_Schaefer,Baltimore_City_College
William_Donald_Schaefer,University_of_Baltimore
Ted_Turner,Brown_University
Ron_Paul,Duke_University_School_of_Medicine
Oprah_Winfrey,Tennessee_State_University
Barron_Hilton,University_of_Southern_California
Anderson_Cooper,Yale_University
David_Boies,New_York_University_School_of_Law
Melinda_Gates,Duke_University
Billy_Bush,Colby_College
Bob_Dole,Washburn_University
Jack_Thompson_(activist),Denison_University
Ross_Perot,United_States_Naval_Academy
David_Boies,Yale_Law_School
Michael_Bloomberg,Johns_Hopkins_University
Bob_Dole,University_of_Kansas
Jerry_Springer,Northwestern_University
David_Boies,Northwestern_University
Bob_Dole,University_of_Arizona
Christine_O'Donnell,Fairleigh_Dickinson_University
Michael_Bloomberg,Harvard_Business_School
"Donald_Wills_Douglas,_Sr.",Massachusetts_Institute_of_Technology
