Frank_Whittle,Coventry
Max_Perutz,Vienna
George_Westinghouse,New_York
William_Harvey,Folkestone
William_Ramsay,Glasgow
Steven_Pinker,Montreal
Robert_Hooke,Isle_of_Wight
James_Gosling,Calgary
Philo_Farnsworth,United_States
Alan_Rickman,London
Lawrence_Lessig,United_States
Bill_Viola,New_York_City
Robert_Hooke,"Freshwater,_Isle_of_Wight"
Thomas_Graham_(chemist),Glasgow
Stephen_Cook,"Buffalo,_New_York"
Alonzo_Church,"Washington,_D.C."
Sidney_Altman,Montreal
Charles_K._Kao,Shanghai
Frank_Drake,Chicago
Ted_Nelson,Chicago
Bruce_Schneier,New_York_City
Alec_Jeffreys,Oxford
Tim_Powers,"Buffalo,_New_York"
Clive_Sinclair,Surrey
Tim_Berners-Lee,London
Edward_Witten,Baltimore
John_Polkinghorne,Weston-super-Mare
Tim_Brooke-Taylor,Derbyshire
Edward_Teller,Budapest
"William_Thomson,_1st_Baron_Kelvin",Ireland
Thomas_Robert_Malthus,Dorking
Erich_Fromm,Frankfurt
Tim_Brooke-Taylor,Buxton
Jeff_Minter,"Reading,_Berkshire"
Bill_Viola,United_States
David_Blaine,Brooklyn
"William_Thomson,_1st_Baron_Kelvin",Belfast
Thomas_Paine,Norfolk
Andrew_Lloyd_Webber,Kensington
Jack_London,San_Francisco
Tim_Curry,Cheshire
Andrew_Lloyd_Webber,London
Vint_Cerf,"New_Haven,_Connecticut"
Alan_Rickman,Hammersmith
Alec_Jeffreys,Oxfordshire
Salman_Rushdie,Mumbai
James_Gosling,Canada
William_Lipscomb,Cleveland
Thomas_Paine,Thetford
David_Blaine,New_York_City
Clive_Sinclair,"Richmond,_London"
